author,initialYear,finalYear
Linnaeus,1758,1758
"Say, Thomas",1828,1828
Serville,1831,1839
Poey,1832,1853
Burmeister,1838,1838
Castelneau,1840,1840
Harris,1841,1841
Motschulsky,1845,1845
Loew,1846,1846
Haldeman,1850,1853
Perroud,1855,1855
GuÃ©rin-MÃ©neville,1857,1857
Herrich-SchÃ¤ffer,1857,1865
StÃ¥l,1858,1862
Thomson,1858,1879
Clemens,1859,1865
Osten Sacken,1859,1875
Norton,1860,1879
Uhler,1861,1877
Scudder,1861,1903
"Herrich-SchÃ¤ffer, G.A.W.",1862,1862
Bland,1862,1865
Grote,1862,1873
Blake,1863,1886
Bassett,1863,1900
Cresson,1863,1949
Chabrill,1864,1864
Fairmaire,1864,1864
Packard,1864,1881
Grote & Robinson,1865,1870
Brendel,1865,1894
Reakirt,1866,1866
Gundlach,1866,1881
LeConte,1866,1884
"Smith, S.I.",1868,1868
Robinson,1869,1948
Walker,1869,1967
Bonvouloir,1870,1870
Cope,1870,1870
Chambers,1872,1872
Strecker,1872,1872
Horn,1872,1895
Crotch,1873,1874
Thomas,1875,1875
Edwards,1875,1881
Bruner,1876,1920
Dodge,1876,1966
"Edwards, W.H.",1877,1877
Brunner,1878,1891
Emery & Forel,1879,1879
"Smith, E.A.",1879,1879
Patton,1879,1881
Fernald,1879,1898
Walsingham,1882,1882
Jayne,1882,1882
Andre,1882,1887
Gerstaecker,1883,1883
Ehlers,1883,1883
Aaron,1883,1886
Bates,1884,1884
Bolivar,1884,1898
"Smith, J.B.",1885,1889
Emery,1886,1887
Van de Poll,1886,1891
Williston,1886,1893
Weed,1887,1888
McFarland,1888,1888
Ritsema,1889,1889
Skinner & Aaron,1889,1889
Robertson,1889,1892
BolÃ­var,1889,1914
Blanchard,1889,1917
Skinner,1889,1923
Pusa,1890,1890
Dietz,1890,1921
Fox,1890,1941
Calvert,1890,1949
Kannegieter,1891,1891
Laurent,1892,1892
Skinner & Mengel,1892,1892
Wickham,1892,1892
Marlatt,1892,1896
Blatchley,1892,1903
Beutenmuller,1892,1909
Kerremans,1892,1911
Hamilton,1893,1893
Morse,1893,1909
Davis,1893,1923
Ashmead,1894,1894
Hubbard,1894,1894
Cockerell & Casad,1894,1895
Cockerell,1894,1907
Schwarz,1895,1895
Casey,1895,1895
Nonfried,1895,1895
Hancock,1895,1918
Roberts,1895,1975
Harrington,1896,1896
Dunning,1896,1898
McNeill,1896,1901
Lewis,1897,1897
Cockerell & Fox,1897,1897
Saussure,1897,1897
Hayward,1897,1941
Lugger,1898,1898
Hough,1898,1898
Johnson,1898,1898
Boileau,1898,1905
Viereck,1898,1922
Cockerell & Porter,1899,1899
Fall,1899,1917
MacGillivray,1900,1900
Riley & Bassett,1900,1900
Rehn,1900,1965
Bruce,1901,1901
Newcomb,1901,1901
Scudder & Cockerell,1902,1902
Crawford,1902,1904
Melander,1902,1927
