source,destination,weight,year
Acari,Chamberlin,1,""
Acarina,Chamberlin,2,""
Amblypygi,Wood,1,""
Araneae,Wood,2,""
Blattodea,Bei-Bienko,1,1938
Blattodea,BolÃ­var,1,1889
Blattodea,BolÃ­var,1,1914
Blattodea,Bruner,2,1906
Blattodea,Cabrera,2,1922
Blattodea,Gerstaecker,1,1883
Blattodea,GuÃ©rin-MÃ©neville,2,1857
Blattodea,GutiÃ©rrez,1,1999
Blattodea,Hanitsch,1,1928
Blattodea,Hebard,3,""
Blattodea,Hebard,17,1916
Blattodea,Hebard,9,1917
Blattodea,Hebard,15,1919
Blattodea,Hebard,13,1920
Blattodea,Hebard,36,1921
Blattodea,Hebard,2,1922
Blattodea,Hebard,7,1923
Blattodea,Hebard,2,1924
Blattodea,Hebard,53,1926
Blattodea,Hebard,30,1929
Blattodea,Hebard,14,1933
Blattodea,Hebard,2,1935
Blattodea,Hebard,8,1943
Blattodea,Kar.,1,""
Blattodea,Rehn,17,""
Blattodea,Rehn,1,1901
Blattodea,Rehn,2,1902
Blattodea,Rehn,8,1903
Blattodea,Rehn,2,1904
Blattodea,Rehn,1,1905
Blattodea,Rehn,4,1906
Blattodea,Rehn,1,1911
Blattodea,Rehn,3,1913
Blattodea,Rehn,2,1915
Blattodea,Rehn,12,1916
Blattodea,Rehn,2,1917
Blattodea,Rehn,7,1918
Blattodea,Rehn,6,1922
Blattodea,Rehn,15,1928
Blattodea,Rehn,9,1930
Blattodea,Rehn,4,1931
Blattodea,Rehn,16,1932
Blattodea,Rehn,1,1932[1933]
Blattodea,Rehn,5,1933
Blattodea,Rehn,14,1937
Blattodea,Rehn,2,1945
Blattodea,Rehn,1,1947
Blattodea,Rehn,2,1951
Blattodea,Rehn,1,1965
Blattodea,Rehn & Hebard,2,1909
Blattodea,Rehn & Hebard,1,1910
Blattodea,Rehn & Hebard,38,1927
Blattodea,"Rehn, J. A. G.",1,1933[1932]
Blattodea,"Rehn, J.A.G.",1,""
Blattodea,"Rehn, J.A.G.",1,1903
Blattodea,"Rehn, J.A.G.",1,1904
Blattodea,"Rehn, J.A.G.",1,1922
Blattodea,"Rehn, J.A.G.",1,1931
Blattodea,"Rehn, J.A.G.",1,1933
Blattodea,Roth,3,""
Blattodea,Roth,2,1973
Blattodea,Roth,1,1977
Blattodea,Roth,3,1979
Blattodea,Roth,1,1985
Blattodea,Roth,1,1986
Blattodea,Roth,1,1991
Blattodea,Roth,1,1993
Blattodea,Roth,2,1995
Blattodea,Roth,3,1996
Blattodea,Roth,3,1997
Blattodea,Roth,1,1999
Blattodea,Roth & GutiÃ©rrez,1,""
Blattodea,Roth & GutiÃ©rrez,1,1998
Blattodea,Roth & Princis,1,1973
Blattodea,Scudder,2,1862
Blattodea,Scudder,2,1869
Blattodea,Scudder,1,1875
Blattodea,Scudder,2,1877
Blattodea,Scudder,2,1900
Blattodea,Scudder,1,1902
Blattodea,StÃ¥l,1,1858
Blattodea,unknown,7,""
Blattodea,Walker,1,1869
Chilopoda,Wood,14,""
Coleoptera,Angell,1,""
Coleoptera,Angell,2,1916
Coleoptera,Angell,1,1917
Coleoptera,Aurivillius,1,""
Coleoptera,Aurivillius,1,1920
Coleoptera,Bates,1,""
Coleoptera,Bates,1,1884
Coleoptera,BeutenmÃ¼ller,1,""
Coleoptera,BeutenmÃ¼ller,2,1903
Coleoptera,BeutenmÃ¼ller,1,1918
Coleoptera,Blaisdell,1,1933
Coleoptera,Blaisdell,1,1934
Coleoptera,Blanchard,1,1889
Coleoptera,Blanchard,2,1915
Coleoptera,Blanchard,1,1917
Coleoptera,Bland,9,1862
Coleoptera,Bland,10,1863
Coleoptera,Bland,18,1864
Coleoptera,Bland,9,1865
Coleoptera,Boileau,1,""
Coleoptera,Boileau,1,1898
Coleoptera,Boileau,1,1905
Coleoptera,Bonvouloir,2,1870
Coleoptera,Boyle,1,1954
Coleoptera,Brendel,16,1865
Coleoptera,Brendel,6,1866
Coleoptera,Brendel,1,1887
Coleoptera,Brendel,4,1889
Coleoptera,Brendel,20,1890
Coleoptera,Brendel,6,1892
Coleoptera,Brendel,13,1893
Coleoptera,Brendel,3,1894
Coleoptera,Breuning,1,""
Coleoptera,"Brown, W.J.",1,1927
Coleoptera,Buchanan,1,1929
Coleoptera,Casey,1,1895
Coleoptera,Castelneau,1,1840
Coleoptera,Chabrill,1,1864
Coleoptera,Champion,3,1920
Coleoptera,Chemsak & Linsley,1,""
Coleoptera,Cockerell,1,1899
Coleoptera,Crotch,10,1873
Coleoptera,Crotch,1,1874
Coleoptera,Dawson,1,1932
Coleoptera,Dietz,1,1890
Coleoptera,Dietz,1,1891
Coleoptera,Dietz,33,1896
Coleoptera,Dillon & Dillon,16,""
Coleoptera,Dillon & Dillon,5,1941
Coleoptera,Dillon & Dillon,11,1945
Coleoptera,Dillon & Dillon,3,1946
Coleoptera,Dillon & Dillon,3,1950
Coleoptera,Ehlers,1,1883[1884]
Coleoptera,Fairmaire,1,1864
Coleoptera,Fall,10,1899
Coleoptera,Fall,6,1905
Coleoptera,Fall,3,1907
Coleoptera,Fall,2,1909
Coleoptera,Fall,1,1910
Coleoptera,Fall,1,1917
Coleoptera,Fletcher,1,1932
Coleoptera,Gentner,2,1928
Coleoptera,Green,1,1940
Coleoptera,Green,1,1949
Coleoptera,Green,1,1950
Coleoptera,Green,3,1957
Coleoptera,Green,2,1966
Coleoptera,Gressit,2,""
Coleoptera,Hamilton,3,1893
Coleoptera,Hatch,2,1927
Coleoptera,Hayward,3,1897
Coleoptera,Hayward,1,1900
Coleoptera,Horn,1,""
Coleoptera,Horn,2,1872
Coleoptera,Horn,25,1873
Coleoptera,Horn,41,1876
Coleoptera,Horn,2,1878
Coleoptera,Horn,1,1879
Coleoptera,Horn,1,1885
Coleoptera,Horn,4,1895
Coleoptera,Hubbard,1,1894
Coleoptera,Jayne,6,1882
Coleoptera,Kannegieter,1,1891
Coleoptera,Kerremans,1,1892
Coleoptera,Kerremans,2,1893
Coleoptera,Kerremans,1,1894
Coleoptera,Kerremans,1,1897
Coleoptera,Kerremans,6,1900
Coleoptera,Kerremans,1,1903
Coleoptera,Kerremans,1,1908
Coleoptera,Kerremans,1,1909
Coleoptera,Kerremans,1,1910
Coleoptera,Kerremans,1,1911
Coleoptera,LeConte,2,1866
Coleoptera,LeConte,4,1878
Coleoptera,LeConte,4,1884
Coleoptera,Leng & Mutchler,2,1922
Coleoptera,Manee,2,1915
Coleoptera,Maydell,4,1934
Coleoptera,Moellenkamp,1,1912
Coleoptera,Motschulsky,1,1845
Coleoptera,Moxey,3,1962
Coleoptera,Moxey,2,1963
Coleoptera,Moxey,1,1965
Coleoptera,Nagel,1,""
Coleoptera,Nonfried,1,1895
Coleoptera,Notman,1,1925
Coleoptera,Perroud,1,1855
Coleoptera,Pusa,1,1890
Coleoptera,Ritsema,1,1889
Coleoptera,Rivnay,3,1929
Coleoptera,Roberts,2,1895
Coleoptera,Robinson,1,1948
Coleoptera,Schwarz,1,1895
Coleoptera,Serville,1,1834
Coleoptera,Skinner,4,1903
Coleoptera,Skinner,3,1904
Coleoptera,Skinner,6,1905
Coleoptera,Skinner,1,1906
Coleoptera,Smith,1,2003
Coleoptera,"Smith, J.B.",3,1885
Coleoptera,"Smith, J.B.",3,1889
Coleoptera,Strohecker,1,""
Coleoptera,Thomson,3,""
Coleoptera,Thomson,4,1858
Coleoptera,Thomson,1,1860
Coleoptera,Thomson,4,1864
Coleoptera,Thomson,1,1877
Coleoptera,Thomson,1,1879
Coleoptera,Valentine,1,1935
Coleoptera,Van de Poll,2,""
Coleoptera,Van de Poll,4,1886
Coleoptera,Van de Poll,4,1887
Coleoptera,Van de Poll,1,1889
Coleoptera,Van de Poll,3,1890
Coleoptera,Van de Poll,5,1891
Coleoptera,Van Dyke,1,1919
Coleoptera,Wallis,1,1950
Coleoptera,Wickham,1,1892
Coleoptera,Young,1,1986
Collembola,Scott,1,1959
Collembola,Scott,7,1960
Collembola,Scott,6,1961
Collembola,Scott,3,1962
Collembola,Scott,5,1963
Collembola,Scott,4,1964
Collembola,Scott,3,1965
Delete,Bruner,6,""
Delete,Cresson,1,1948
Delete,Grant,11,""
Delete,Hancock,25,""
Delete,Morse,4,""
Delete,Otte,1,""
Delete,"Perez-Gelabert, Hierro & Otte",10,""
Delete,Rehn,1,""
Delete,Rehn,1,1906
Delete,Rehn & Grant,3,""
Delete,Saint-Fargeau & Serville,1,""
Delete,Scudder,1,""
Delete,Steinman,1,""
Delete,Tinkham,1,""
Dermaptera,Burr,1,1952
Dermaptera,Hebard,3,1917
Dermaptera,Hebard,3,1919
Dermaptera,Hebard,1,1921
Dermaptera,Hebard,1,1922
Dermaptera,Hebard,11,1923
Dermaptera,Hebard,3,1924
Dermaptera,Hebard,4,1927
Dermaptera,Hebard,1,1929
Dermaptera,Hebard,1,1932
Dermaptera,Hebard,2,1933
Dermaptera,Rehn,2,1901
Dermaptera,Rehn,1,1916
Dermaptera,Rehn,1,1917
Dermaptera,Rehn,3,1921
Dermaptera,Rehn,1,1925
Dermaptera,Rehn,1,1933
Dermaptera,Rehn,2,1936
Dermaptera,Rehn,4,1946
Dermaptera,Rehn,1,1948
Dermaptera,Rehn & Hebard,1,""
Dermaptera,Rehn & Hebard,1,1914
Dermaptera,Rehn & Hebard,1,1917
Dermaptera,Sakai,1,1989
Dermaptera,Scudder,2,1875
Diplopoda,Bollman,1,""
Diplopoda,Causey,2,1942
Diplopoda,Chamberlin,1,""
Diplopoda,Cope,1,1870
Diplopoda,Wood,9,""
Diplura,Allen,2,2003
Diplura,Allen,1,2005
Diplura,Allen,4,2006
Diplura,Allen & Rosenberg,2,2005
Diptera,Aldrich,1,1912
Diptera,Alexander,5,1912
Diptera,Alexander,6,1914
Diptera,Alexander,1,1916
Diptera,Alexander,2,1917
Diptera,Alexander,1,1919
Diptera,Alexander,1,1940
Diptera,Alexander,1,1941
Diptera,Back,3,1904
Diptera,Back,3,1909
Diptera,Bezzi,1,""
Diptera,Brennan,1,1935
Diptera,Bromley,2,1925
Diptera,Bromley,7,1927
Diptera,Bromley,1,1931
Diptera,Bromley,1,1934
Diptera,Bromley,14,1942
Diptera,Bromley,1,1950
Diptera,Chamberlin,2,""
Diptera,Cole,6,1923
Diptera,Coquillett In Johnson,2,1903
Diptera,Cresson,6,1906
Diptera,Cresson,4,1907
Diptera,Cresson,3,1908
Diptera,Cresson,1,1910
Diptera,Cresson,9,1911
Diptera,Cresson,5,1912
Diptera,Cresson,2,1913
Diptera,Cresson,9,1914
Diptera,Cresson,15,1915
Diptera,Cresson,15,1916
Diptera,Cresson,10,1917
Diptera,Cresson,29,1918
Diptera,Cresson,26,1919
Diptera,Cresson,8,1920
Diptera,Cresson,1,1921[1922]
Diptera,Cresson,2,1922
Diptera,Cresson,3,1923
Diptera,Cresson,7,1924
Diptera,Cresson,14,1925
Diptera,Cresson,21,1926
Diptera,Cresson,14,1929
Diptera,Cresson,17,1930
Diptera,Cresson,6,1931
Diptera,Cresson,8,1932
Diptera,Cresson,5,1933
Diptera,Cresson,12,1934
Diptera,Cresson,12,1935
Diptera,Cresson,5,1936
Diptera,Cresson,4,1938
Diptera,Cresson,2,1939
Diptera,Cresson,16,1940
Diptera,Cresson,7,1941
Diptera,Cresson,6,1942
Diptera,Cresson,4,1943
Diptera,Cresson,12,1944
Diptera,Cresson,2,1946
Diptera,Cresson,1,1947
Diptera,Cresson,3,1948
Diptera,Cresson,3,1949
Diptera,Curran,2,1925
Diptera,Dalmat,1,1942
Diptera,Dietz,1,""
Diptera,Dietz,6,1914
Diptera,Dietz,10,1916
Diptera,Dietz,4,1917
Diptera,Dietz,27,1918
Diptera,Dietz,6,1919
Diptera,Dietz,1,1920
Diptera,Dietz,32,1921
Diptera,Dodge,1,1966
Diptera,Fisher,8,1938
Diptera,Fisher,12,1939
Diptera,Fisher,3,1940
Diptera,Fisher,5,1941
Diptera,Garrett,1,1924
Diptera,Grote,2,1867
Diptera,Hine,1,1917
Diptera,Hine,3,1919
Diptera,Hine,1,1920
Diptera,Hough,7,1898
Diptera,Huckett,1,1934
Diptera,Huckett,11,1939
Diptera,Hull,9,1930
Diptera,Hull,1,1935
Diptera,Hull,21,1940
Diptera,James,6,1939
Diptera,James,1,1941
Diptera,Johnson,7,1898
Diptera,Johnson in Skinner,3,1903
Diptera,Laffoon,3,1957
Diptera,Leonard,1,1930
Diptera,Loew,1,1846
Diptera,Malloch,1,1913
Diptera,Malloch,38,1914
Diptera,Malloch,1,1915
Diptera,Malloch,30,1918
Diptera,Malloch,12,1920
Diptera,Melander,11,1902
Diptera,Melander,2,1906
Diptera,Melander,1,1913
Diptera,Melander,1,1918
Diptera,Melander,1,1927
Diptera,Oldroyd,2,1957
Diptera,Osten Sacken,46,1859
Diptera,Osten Sacken,1,1865
Diptera,Osten Sacken,2,1869
Diptera,Osten Sacken,2,1875
Diptera,Painter,1,1932
Diptera,Rapp,5,1943
Diptera,Roback,36,1957
Diptera,Roback,1,1958
Diptera,Roback,1,1959
Diptera,Roback,11,1960
Diptera,Roback,5,1962
Diptera,Roback,1,1965
Diptera,Roback,3,1971
Diptera,Roback,1,1979
Diptera,Roback,1,1980
Diptera,Roback,1,1981
Diptera,Roback,1,1982
Diptera,Roback,5,1983
Diptera,Roback,1,1985
Diptera,Roback,7,1987
Diptera,Roback & Rutter,1,1988
Diptera,Sabrosky,1,1950
Diptera,Soponis,1,1977
Diptera,Sturtevant & Wheeler,25,1954
Diptera,Van Duzee,4,1913
Diptera,Van Duzee,3,1914
Diptera,Van Duzee,1,1915
Diptera,Van Duzee,1,1919
Diptera,Van Duzee,3,1924
Diptera,Van Duzee,2,1926
Diptera,W. G. Dietz,1,1921
Diptera,Williston,2,1886[1887]
Diptera,Williston,1,1893
Ephemeroptera,Allen,1,1977
Ephemeroptera,Allen,1,MS ?
Ephemeroptera,"Edmunds, Berner & Traver",1,1958
Ephemeroptera,Funk,1,""
Ephemeroptera,Funk,1,2006
Ephemeroptera,Lugo-Ortiz & McCafferty,1,1994
Ephemeroptera,Waltz & McCafferty,1,""
Geophilomorpha,Saeger,1,""
Geophilomorpha,Wood,8,""
Hemiptera,Cockerell,1,1900
Hemiptera,Davis,1,1923
Hemiptera,DeLong,1,1980
Hemiptera,Haldeman,2,1853[1854]
Hemiptera,McAtee & Malloch,5,1925
Hemiptera,StÃ¥l,1,1862
Hemiptera,Uhler,1,1861
