source,destination,weight,specificyear
N/A,Acari,1,""
N/A,Acarina,2,""
N/A,Amblypygi,1,""
N/A,Araneae,2,""
N/A,Blattodea,33,""
N/A,Chilopoda,14,""
N/A,Coleoptera,33,""
N/A,Dermaptera,1,""
N/A,Diplopoda,11,""
N/A,Diptera,4,""
N/A,Ephemeroptera,2,""
N/A,Geophilomorpha,9,""
N/A,Hymenoptera,391,""
N/A,Lepidoptera,12,""
N/A,Mantodea,10,""
N/A,Neuroptera,15,""
N/A,Odonata,12,""
N/A,Opiliones,10,""
N/A,Orthoptera,304,""
N/A,Phasmatodea,14,""
N/A,Pseudoscorpiones,1,""
N/A,Scorpionidea,1,""
1758,Orthoptera,2,""
1828,Lepidoptera,1,""
1831,Orthoptera,1,""
1832,Lepidoptera,11,""
1834,Coleoptera,1,""
1838,Orthoptera,1,""
1839,Orthoptera,1,""
1840,Coleoptera,1,""
1841,Orthoptera,1,""
1845,Coleoptera,1,""
1846,Diptera,1,""
1846,Lepidoptera,1,""
1850,Orthoptera,2,""
1851,Lepidoptera,7,""
1853,Lepidoptera,1,""
1853[1854],Hemiptera,2,""
1855,Coleoptera,1,""
1857,Blattodea,2,""
1857,Lepidoptera,1,""
1858,Blattodea,1,""
1858,Coleoptera,4,""
1859,Diptera,46,""
1859,Lepidoptera,36,""
1860,Coleoptera,1,""
1860,Hymenoptera,1,""
1860,Lepidoptera,125,""
1861,Hemiptera,1,""
1861,Hymenoptera,4,""
1861,Lepidoptera,1,""
1861,Orthoptera,4,""
1862,Blattodea,2,""
1862,Coleoptera,9,""
1862,Hemiptera,1,""
1862,Hymenoptera,11,""
1862,Lepidoptera,19,""
1862,Orthoptera,39,""
1863,Coleoptera,10,""
1863,Hemiptera,5,""
1863,Hymenoptera,38,""
1863,Lepidoptera,53,""
1863,Orthoptera,1,""
1864,Coleoptera,24,""
1864,Hymenoptera,276,""
1864,Lepidoptera,87,""
1864,Orthoptera,5,""
1865,Coleoptera,25,""
1865,Diptera,1,""
1865,Hymenoptera,385,""
1865,Lepidoptera,72,""
1866,Coleoptera,8,""
1866,Hymenoptera,9,""
1866,Lepidoptera,19,""
1867,Diptera,2,""
1867,Hymenoptera,173,""
1867,Lepidoptera,24,""
1867[1868],Hymenoptera,1,""
1868,Hymenoptera,199,""
1868,Lepidoptera,17,""
1868,Orthoptera,1,""
1868[1869],Hymenoptera,5,""
1869,Blattodea,3,""
1869,Diptera,2,""
1869,Hymenoptera,77,""
1869,Lepidoptera,43,""
1869,Mantodea,1,""
1869,Orthoptera,49,""
1869,Phasmatodea,1,""
1870,Coleoptera,2,""
1870,Diplopoda,1,""
1870,Hemiptera,1,""
1870,Hymenoptera,79,""
1870,Lepidoptera,10,""
1871,Hymenoptera,70,""
1871,Lepidoptera,2,""
1872,Coleoptera,2,""
1872,Hymenoptera,320,""
1872,Lepidoptera,37,""
1872,Mantodea,1,""
1872,Orthoptera,7,""
1872[1873],Hymenoptera,12,""
1873,Coleoptera,35,""
1873,Hymenoptera,196,""
1873,Lepidoptera,6,""
1873[1874],Hymenoptera,21,""
1874,Coleoptera,1,""
1874,Hymenoptera,7,""
1875,Hymenoptera,1,""
1875,Blattodea,1,""
1875,Dermaptera,2,""
1875,Diptera,2,""
1875,Hymenoptera,16,""
1875,Lepidoptera,1,""
1875,Orthoptera,71,""
1875,Phasmatodea,3,""
1875[1876],Hymenoptera,1,""
1876,Coleoptera,41,""
1876,Hymenoptera,2,""
1876,Lepidoptera,1,""
1876,Orthoptera,40,""
1877,Blattodea,2,""
1877,Coleoptera,1,""
1877,Hymenoptera,70,""
1877,Lepidoptera,1,""
1877,Mantodea,1,""
1877,Orthoptera,29,""
1878,Coleoptera,6,""
1878,Hymenoptera,319,""
1878,Orthoptera,36,""
1878[1879],Hymenoptera,60,""
1879,Coleoptera,2,""
1879,Hymenoptera,136,""
1879,Lepidoptera,1,""
1879,Orthoptera,1,""
1880,Hymenoptera,176,""
1881,Hymenoptera,42,""
1881,Lepidoptera,2,""
1881,Orthoptera,9,""
1881[1882],Hymenoptera,18,""
1882,Coleoptera,6,""
1882,Hymenoptera,2,""
1882,Lepidoptera,3,""
1883,Blattodea,1,""
1883,Psocoptera,8,""
1883[1884],Coleoptera,1,""
1884,Coleoptera,5,""
1884,Lepidoptera,2,""
1884,Orthoptera,3,""
1885,Coleoptera,4,""
1885,Hymenoptera,32,""
1885,Orthoptera,8,""
1886,Coleoptera,4,""
1886,Hymenoptera,25,""
1886,Psocoptera,8,""
1886[1887],Diptera,2,""
1887,Coleoptera,5,""
1887,Hymenoptera,6,""
1888,Hymenoptera,5,""
1889,Blattodea,1,""
1889,Coleoptera,10,""
1889,Hymenoptera,11,""
1889,Lepidoptera,4,""
1889,Orthoptera,12,""
1890,Coleoptera,25,""
1890,Hymenoptera,51,""
1890,Lepidoptera,2,""
1890,Odonata,3,""
1890,Orthoptera,15,""
1891,Coleoptera,7,""
1891,Hymenoptera,17,""
1891,Lepidoptera,1,""
1891,Odonata,1,""
1891,Orthoptera,11,""
1892,Coleoptera,8,""
1892,Hymenoptera,35,""
1892,Lepidoptera,8,""
1892,Orthoptera,23,""
1893,Coleoptera,18,""
1893,Diptera,1,""
1893,Hymenoptera,35,""
1893,Lepidoptera,2,""
1893,Odonata,1,""
1893,Orthoptera,11,""
1893[1894],Hymenoptera,21,""
1894,Coleoptera,5,""
1894,Hymenoptera,26,""
1894,Lepidoptera,2,""
1894,Orthoptera,44,""
1895,Coleoptera,9,""
1895,Hymenoptera,88,""
1895,Lepidoptera,5,""
1895,Odonata,3,""
1895,Orthoptera,14,""
1895,Phasmatodea,1,""
1895[1896],Hymenoptera,7,""
1896,Coleoptera,33,""
1896,Hymenoptera,64,""
1896,Lepidoptera,2,""
1896,Mantodea,5,""
1896,Orthoptera,18,""
1897,Coleoptera,4,""
1897,Hymenoptera,106,""
1897,Lepidoptera,6,""
1897,Orthoptera,105,""
1897[1868],Hymenoptera,2,""
1897[1898],Hymenoptera,117,""
1898,Coleoptera,1,""
1898,Diptera,14,""
1898,Hymenoptera,62,""
1898,Lepidoptera,1,""
1898,Odonata,1,""
1898,Orthoptera,32,""
1899,Coleoptera,11,""
1899,Hymenoptera,66,""
1899,Lepidoptera,3,""
1899,Odonata,3,""
1899,Orthoptera,74,""
1900,Blattodea,2,""
1900,Coleoptera,7,""
1900,Hemiptera,1,""
1900,Hymenoptera,42,""
1900,Mantodea,1,""
1900,Orthoptera,68,""
1900,Phasmatodea,2,""
1901,Blattodea,1,""
1901,Dermaptera,2,""
1901,Hymenoptera,3,""
1901,Lepidoptera,2,""
1901,Mantodea,7,""
1901,Orthoptera,31,""
1901,Phasmatodea,2,""
1902,Blattodea,3,""
1902,Diptera,11,""
1902,Hymenoptera,16,""
1902,Lepidoptera,6,""
1902,Odonata,7,""
1902,Orthoptera,60,""
1902,Phasmatodea,3,""
1902[1903],Hymenoptera,7,""
1903,Blattodea,9,""
1903,Coleoptera,7,""
1903,Diptera,5,""
1903,Hemiptera,2,""
