ID, color
United States, white
Brunei, white
Colombia, white
Cuba, white
Mexico, white
Bermuda, white
Canada, white
Greenland, white
Puerto Rico, white
Costa Rica, white
Panama, white
Guatemala, white
Jamaica, white
North America, white
Kenya, white
Northeast Africa, white
West Indies, white
Trinidad, white
Sumatra, white
India (Bharat), white
Myanmar [=Burma], white
Bahamas, white
Ecuador, white
Australia, white
Ethiopia, white
Congo, white
Angola, white
Philippines, white
Indonesia, white, 
Brazil (Brasil), white
Fiji Islands, white
Madagascar, white
Guyana (Dutch Guiana), white
Egypt, white
Vietnam, white
New Guinea, white
Taiwan (Formosa), white
Germany (Deutschland), white
Paraguay, white
Austria (Ã–sterreich), white
Venezuela, white
Honduras, white
Turkey, white
Guiana (British Guiana), white
Croatia, white
Sri Lanka (Ceylon), white
Nicaragua, white
Tibet, white
Peru, white
Japan (Nippon), white
Bolivia, white
Sierra Leone, white
Gabon, white
Laos, white
Moluccas, white
Tanzania, white
Senegal, white
Cambodia, white
New Caledonia, white
China, white
Chile, white
Java, white
Andaman Islands, white
Dominican Republic (San Domingo), white
Borneo, white
Haiti (Hayti), white
Martinique, white
New Hebrides, white
French Guiana, white
Surinam, white
Somalia, white
Malaysia, white
Singapore, white
South Africa, white
Argentina, white
Cameroon [=Kamerun?], white
Uganda, white
Liberia, white
Comoro Islands, white
Botswana, white
Morocco, white
Belize, white
Dominica, white
Barbados, white
Marquesas Islands, white
Zimbabwe, white
Ghana, white
Bonaire, white
Zambia, white
Mozambique, white
Central African Republic, white
Korea (South), white
Cameroon, white
Thailand [=Siam], white
Nigeria, white
British West Indies, white
Malawi, white
Bonin Islands [=Ogasawara Islands], white
Palau [=Belau], white
Mali, white
Galapagos Islands, white
Sudan, white
Namibia, white
Caroline Islands, white
CuraÃ§ao, white
Uruguay, white
New Zealand, white
Switzerland (Suisse), white
Syria, white
Diptera, blue
Coleoptera, blue
Lepidoptera, blue
Odonata, blue
Diplopoda, blue
Hymenoptera, blue
Psocoptera, blue
Neuroptera, blue
Trichoptera, blue
Hemiptera, blue
Dermaptera, blue
Delete, blue
Collembola, blue
Araneae, blue
Chilopoda, blue
Geophilomorpha, blue
Amblypygi, blue
Scorpionidea, blue
Phasmatodea, blue
Opiliones, blue
Pseudoscorpiones, blue
Acari, blue
Acarina, blue
Polydesmida, blue
Mantodea, blue
Orthoptera, blue
Blattodea, blue
Ephemeroptera, blue
Diplura, blue
