from,to,weight
Andaman Islands,Coleoptera,1
Angola,Coleoptera,1
Angola,Dermaptera,1
Angola,Orthoptera,5
Angola,Phasmatodea,1
Argentina,Blattodea,13
Argentina,Delete,1
Argentina,Mantodea,2
Argentina,Orthoptera,51
Argentina,Phasmatodea,1
Australia,Blattodea,10
Australia,Coleoptera,14
Australia,Dermaptera,1
Australia,Diptera,11
Australia,Hymenoptera,1
Australia,Mantodea,1
Australia,Orthoptera,5
Austria (Ã–sterreich),Diptera,5
Bahamas,Blattodea,2
Bahamas,Dermaptera,1
Bahamas,Orthoptera,3
Barbados,Blattodea,2
Barbados,Orthoptera,1
Belize,Orthoptera,1
Belize,Phasmatodea,1
Bermuda,Blattodea,1
Bermuda,Diplopoda,1
Bermuda,Diptera,2
Bermuda,Orthoptera,1
Bolivia,Blattodea,2
Bolivia,Coleoptera,3
Bolivia,Lepidoptera,6
Bolivia,Odonata,8
Bolivia,Orthoptera,67
Bonaire,Blattodea,1
Bonin Islands [=Ogasawara Islands],Orthoptera,1
Borneo,Hymenoptera,4
Borneo,Mantodea,2
Borneo,Orthoptera,6
Borneo,Phasmatodea,1
Botswana,Phasmatodea,1
Brazil (Brasil),Blattodea,43
Brazil (Brasil),Coleoptera,16
Brazil (Brasil),Dermaptera,2
Brazil (Brasil),Diptera,8
Brazil (Brasil),Hymenoptera,36
Brazil (Brasil),Lepidoptera,10
Brazil (Brasil),Mantodea,6
Brazil (Brasil),Odonata,6
Brazil (Brasil),Orthoptera,220
Brazil (Brasil),Phasmatodea,5
British West Indies,Orthoptera,1
Brunei,Coleoptera,2
Brunei,Orthoptera,2
Cambodia,Coleoptera,1
Cameroon,Orthoptera,1
Cameroon [=Kamerun?],Blattodea,3
Cameroon [=Kamerun?],Mantodea,1
Cameroon [=Kamerun?],Orthoptera,18
Canada,Coleoptera,11
Canada,Diptera,22
Canada,Hymenoptera,176
Canada,Lepidoptera,21
Canada,Odonata,1
Canada,Orthoptera,18
Caroline Islands,Orthoptera,1
Central African Republic,Orthoptera,1
Chile,Blattodea,3
Chile,Coleoptera,2
Chile,Orthoptera,3
China,Chilopoda,1
China,Coleoptera,2
China,Mantodea,1
China,Odonata,1
China,Orthoptera,11
Colombia,Blattodea,36
Colombia,Coleoptera,6
Colombia,Dermaptera,4
Colombia,Diptera,14
Colombia,Hemiptera,5
Colombia,Lepidoptera,5
Colombia,Mantodea,4
Colombia,Orthoptera,113
Colombia,Phasmatodea,17
Comoro Islands,Mantodea,1
Comoro Islands,Orthoptera,1
Congo,Blattodea,2
Congo,Coleoptera,1
Congo,Dermaptera,1
Congo,Diptera,1
Congo,Mantodea,5
Congo,Neuroptera,1
Congo,Odonata,1
Congo,Orthoptera,5
Costa Rica,Acari,1
Costa Rica,Acarina,2
Costa Rica,Blattodea,11
Costa Rica,Coleoptera,3
Costa Rica,Dermaptera,3
Costa Rica,Diptera,97
Costa Rica,Hymenoptera,12
Costa Rica,Lepidoptera,1
Costa Rica,Mantodea,7
Costa Rica,Neuroptera,1
Costa Rica,Odonata,16
Costa Rica,Opiliones,1
Costa Rica,Orthoptera,109
Costa Rica,Phasmatodea,6
Costa Rica,Pseudoscorpiones,1
Croatia,Diptera,1
Cuba,Blattodea,18
Cuba,Coleoptera,2
Cuba,Dermaptera,1
Cuba,Diptera,2
Cuba,Hemiptera,4
Cuba,Hymenoptera,161
Cuba,Lepidoptera,76
Cuba,Orthoptera,14
Cuba,Phasmatodea,1
CuraÃ§ao,Orthoptera,1
Dominica,Phasmatodea,1
Dominican Republic (San Domingo),Blattodea,2
Dominican Republic (San Domingo),Hymenoptera,2
Dominican Republic (San Domingo),Lepidoptera,2
Dominican Republic (San Domingo),Orthoptera,22
Ecuador,Blattodea,2
Ecuador,Coleoptera,1
Ecuador,Dermaptera,3
Ecuador,Lepidoptera,15
Ecuador,Mantodea,2
Ecuador,Odonata,3
Ecuador,Opiliones,6
Ecuador,Orthoptera,57
Ecuador,Phasmatodea,8
Egypt,Diptera,3
Egypt,Orthoptera,1
Ethiopia,Dermaptera,1
Ethiopia,Phasmatodea,1
Fiji Islands,Dermaptera,1
Fiji Islands,Orthoptera,2
French Guiana,Blattodea,49
French Guiana,Lepidoptera,1
French Guiana,Mantodea,6
French Guiana,Orthoptera,10
French Guiana,Phasmatodea,1
Gabon,Coleoptera,5
Galapagos Islands,Orthoptera,13
Germany (Deutschland),Diptera,4
Ghana,Blattodea,1
Greenland,Diptera,7
Greenland,Hymenoptera,3
Greenland,Lepidoptera,4
Guatemala,Blattodea,2
Guatemala,Diptera,2
Guatemala,Hymenoptera,1
Guatemala,Mantodea,1
Guatemala,Odonata,1
Guatemala,Orthoptera,13
Guiana (British Guiana),Blattodea,19
Guiana (British Guiana),Coleoptera,1
Guiana (British Guiana),Diptera,6
Guiana (British Guiana),Hymenoptera,2
Guiana (British Guiana),Lepidoptera,4
Guiana (British Guiana),Mantodea,1
Guiana (British Guiana),Odonata,3
Guiana (British Guiana),Orthoptera,11
Guiana (British Guiana),Phasmatodea,1
Guyana (Dutch Guiana),Diptera,4
Guyana (Dutch Guiana),Lepidoptera,4
Guyana (Dutch Guiana),Neuroptera,2
Guyana (Dutch Guiana),Orthoptera,2
Haiti (Hayti),Blattodea,4
Haiti (Hayti),Hymenoptera,2
Haiti (Hayti),Lepidoptera,3
Haiti (Hayti),Odonata,1
Haiti (Hayti),Orthoptera,7
Haiti (Hayti),Phasmatodea,1
Honduras,Blattodea,2
Honduras,Diptera,7
Honduras,Lepidoptera,2
Honduras,Orthoptera,9
India (Bharat),Chilopoda,1
India (Bharat),Coleoptera,3
India (Bharat),Dermaptera,10
India (Bharat),Diptera,2
India (Bharat),Orthoptera,67
