country,publication_year,COUNT
Andaman Islands,1879,1
Angola,1908,1
Angola,1911,1
Angola,1912,1
Angola,1933,1
Angola,1940,1
Angola,1944,1
Angola,1953,1
Angola,1987,1
Argentina,1878,1
Argentina,1900,24
Argentina,1905,1
Argentina,1906,2
Argentina,1911,1
Argentina,1913,19
Argentina,1915,3
Argentina,1918,3
Argentina,1921,8
Argentina,1931,1
Argentina,1939,1
Argentina,1940,1
Argentina,1943,1
Argentina,1961,1
Argentina,1965,1
Australia,1864,1
Australia,1886,3
Australia,1887,4
Australia,1891,5
Australia,1920,1
Australia,1922,5
Australia,1925,2
Australia,1926,1
Australia,1929,1
Australia,1930,1
Australia,1932,1
Australia,1933,1
Australia,1935,1
Australia,1943,9
Australia,1944,1
Australia,1948,2
Australia,1973,1
Australia,1977,1
Austria,1930,4
Austria,1932,1
Bahamas,1905,2
Bahamas,1913,1
Bahamas,1916,1
Bahamas,1921,1
Bahamas,1927,1
Barbados,1905,1
Barbados,1916,1
Barbados,1927,1
Belize,1907,1
Belize,1932,1
Bermuda,1909,1
Bermuda,1911,2
Bermuda,1932,1
Bolivia,1899,1
Bolivia,1903,1
Bolivia,1906,4
Bolivia,1909,4
Bolivia,1913,14
Bolivia,1915,17
Bolivia,1916,6
Bolivia,1919,14
Bolivia,1920,2
Bolivia,1927,1
Bolivia,1928,3
Bolivia,1929,1
Bolivia,1939,1
Bolivia,1942,1
Bolivia,1945,3
Bolivia,1950,1
Bolivia,1955,1
Bolivia,1956,1
Bolivia,1970,1
Bolivia,1971,2
Bolivia,1976,2
Bolivia,1979,1
Bolivia,1997,1
Bonaire,1930,1
Bonin Islands,1988,1
Borneo,1887,2
Borneo,1907,1
Borneo,1920,2
Borneo,1922,5
Borneo,1923,1
Borneo,1938,2
Botswana,1933,1
Brazil,1834,1
Brazil,1840,1
Brazil,1864,1
Brazil,1869,3
Brazil,1875,1
Brazil,1890,1
Brazil,1899,2
Brazil,1900,1
Brazil,1906,6
Brazil,1908,8
Brazil,1909,4
Brazil,1910,22
Brazil,1911,48
Brazil,1913,7
Brazil,1914,1
Brazil,1915,22
Brazil,1916,30
Brazil,1917,19
Brazil,1918,30
Brazil,1919,4
Brazil,1920,8
Brazil,1921,4
Brazil,1926,4
Brazil,1927,2
Brazil,1928,2
Brazil,1928,3
Brazil,1929,2
Brazil,1930,34
Brazil,1932,7
Brazil,1937,5
Brazil,1938,2
Brazil,1939,6
Brazil,1940,1
Brazil,1941,5
Brazil,1942,4
Brazil,1944,1
Brazil,1945,6
Brazil,1946,2
Brazil,1947,2
Brazil,1950,3
Brazil,1955,1
Brazil,1956,2
Brazil,1960,1
Brazil,1964,3
Brazil,1969,5
Brazil,1970,2
Brazil,1973,2
Brazil,1974,1
Brazil,1975,4
Brazil,1976,6
Brazil,1929,1
British West Indies,1979,1
Brunei,1889,1
Brunei,1906,2
Brunei,1920,1
Cambodia,1864,1
Cameroon,1919,1
Cameroon,1910,2
Cameroon,1912,1
Cameroon,1919,3
Cameroon,1930,1
Cameroon,1931,1
Cameroon,1937,2
Cameroon,1939,4
Cameroon,1942,1
Cameroon,1944,1
Cameroon,1945,3
Cameroon,1958,1
Cameroon,1970,2
Canada,1862,2
Canada,1863,4
Canada,1864,19
Canada,1865,2
Canada,1867,18
Canada,1868,26
Canada,1869,11
Canada,1870,12
Canada,1871,2
Canada,1872,4
Canada,1872,1
Canada,1873,2
Canada,1875,4
Canada,1876,1
Canada,1877,21
Canada,1878,7
Canada,1878,15
Canada,1879,5
Canada,1880,5
Canada,1885,2
Canada,1887,1
Canada,1889,1
Canada,1890,2
Canada,1891,1
Canada,1892,2
Canada,1893,2
Canada,1895,4
Canada,1896,5
Canada,1897,9
Canada,1897,9
Canada,1898,1
Canada,1903,1
Canada,1904,9
Canada,1905,3
Canada,1906,1
Canada,1911,1
Canada,1913,2
Canada,1914,3
Canada,1915,1
Canada,1916,1
Canada,1917,1
Canada,1918,2
Canada,1919,2
Canada,1920,3
Canada,1921,1
Canada,1924,1
Canada,1925,1
Canada,1928,2
Canada,1930,1
Canada,1931,1
Canada,1937,2
Canada,1938,1
Canada,1939,1
Canada,1943,3
Canada,1944,3
Canada,1950,1
Canada,1984,1
Caroline Islands,1945,1
Central African Republic,1975,1
Chile,1864,1
Chile,1933,3
Chile,1942,2
Chile,1943,1
China,1869,1
China,1930,1
China,1937,2
China,1939,1
China,1944,4
China,1956,4
Colombia,1869,1
Colombia,1875,2
Colombia,1899,1
Colombia,1908,1
Colombia,1911,1
Colombia,1913,1
Colombia,1915,2
Colombia,1916,4
Colombia,1919,26
Colombia,1920,2
Colombia,1921,17
Colombia,1922,2
Colombia,1923,47
Colombia,1925,5
Colombia,1927,28
Colombia,1928,17
Colombia,1930,5
Colombia,1933,17
Colombia,1937,1
Colombia,1940,1
Colombia,1941,1
Colombia,1946,1
Colombia,1955,1
Colombia,1962,2
Colombia,1967,1
Colombia,1973,1
Colombia,1979,1
Colombia,1980,1
Colombia,1982,1
Colombia,1983,1
Colombia,1987,7
Comoro Islands,1959,1
Congo,1919,1
Congo,1929,1
Congo,1936,1
Congo,1937,1
Congo,1939,1
Congo,1943,1
Congo,1947,1
Congo,1949,4
Congo,1953,2
Costa Rica,1869,1
Costa Rica,1878,3
Costa Rica,1879,1
Costa Rica,1897,1
Costa Rica,1903,1
Costa Rica,1904,7
Costa Rica,1905,27
Costa Rica,1906,1
Costa Rica,1907,4
Costa Rica,1908,16
Costa Rica,1909,1
Costa Rica,1912,5
Costa Rica,1914,44
Costa Rica,1916,8
Costa Rica,1917,4
Costa Rica,1918,29
Costa Rica,1919,1
Costa Rica,1920,6
Costa Rica,1921,4
Costa Rica,1923,2
Costa Rica,1924,2
Costa Rica,1927,1
Costa Rica,1928,13
Costa Rica,1929,12
Costa Rica,1930,4
Costa Rica,1931,6
Costa Rica,1933,1
Costa Rica,1934,3
Costa Rica,1935,4
Costa Rica,1939,12
Costa Rica,1941,3
Costa Rica,1942,3
Costa Rica,1944,2
Costa Rica,1946,2
Costa Rica,1947,5
Costa Rica,1951,1
Costa Rica,1955,2
Costa Rica,1966,1
Costa Rica,1969,1
Costa Rica,1970,1
Costa Rica,1971,1
Costa Rica,1973,5
Costa Rica,1974,1
Costa Rica,1975,2
Costa Rica,1976,3
Costa Rica,1977,1
Costa Rica,1984,2
Croatia,1930,1
Cuba,1832,10
Cuba,1846,1
Cuba,1851,7
Cuba,1853,1
Cuba,1862,3
Cuba,1863,6
Cuba,1865,180
Cuba,1866,7
Cuba,1867,8
Cuba,1869,4
Cuba,1871,1
Cuba,1875,2
Cuba,1878,3
Cuba,1881,1
Cuba,1894,1
Cuba,1903,1
Cuba,1907,1
Cuba,1912,2
Cuba,1913,1
Cuba,1914,1
Cuba,1915,1
Cuba,1920,1
Cuba,1921,1
Cuba,1922,5
Cuba,1923,1
Cuba,1924,1
Cuba,1925,1
Cuba,1927,12
Cuba,1928,1
Cuba,1930,3
Cuba,1932,1
Cuba,1937,2
Cuba,1938,1
Cuba,1942,3
Cuba,1998,2
Dominica,1938,1
Dominican Republic,1920,2
