state,weight,year
Alabama,1,1871
Alabama,10,1872
Alabama,1,1873
Alabama,1,1886
Alabama,2,1901
Alabama,1,1902
Alabama,2,1906
Alabama,1,1917
Alabama,1,1920
Alabama,1,1926
Alabama,1,1954
Alabama,1,1986
Alabama,1,2005
Alaska,2,1863
Alaska,1,1872
Alaska,1,1875
Alaska,1,1877
Alaska,1,1878
Alaska,1,1878
Alaska,1,1880
Alaska,1,1902
Alaska,1,1906
Alaska,1,1914
Alaska,1,1941
Arizona,1,1866
Arizona,2,1871
Arizona,2,1875
Arizona,3,1876
Arizona,1,1878
Arizona,1,1879
Arizona,4,1881
Arizona,1,1882
Arizona,3,1885
Arizona,7,1886
Arizona,3,1890
Arizona,1,1891
Arizona,4,1892
Arizona,1,1893
Arizona,2,1894
Arizona,4,1895
Arizona,2,1896
Arizona,7,1897
Arizona,4,1898
Arizona,16,1899
Arizona,4,1900
Arizona,3,1902
Arizona,6,1903
Arizona,14,1904
Arizona,13,1905
Arizona,3,1906
Arizona,9,1907
Arizona,7,1908
Arizona,1,1910
Arizona,1,1911
Arizona,2,1912
Arizona,1,1913
Arizona,3,1914
Arizona,4,1915
Arizona,3,1917
Arizona,2,1918
Arizona,3,1919
Arizona,1,1920
Arizona,1,1921
Arizona,2,1922
Arizona,1,1923
Arizona,1,1925
Arizona,2,1927
Arizona,1,1929
Arizona,1,1931
Arizona,3,1934
Arizona,13,1935
Arizona,5,1936
Arizona,3,1937
Arizona,3,1938
Arizona,4,1939
Arizona,2,1940
Arizona,1,1941
Arizona,4,1947
Arizona,1,1948
Arizona,1,1949
Arizona,1,1950
Arizona,2,1954
Arizona,2,1958
Arizona,1,1959
Arizona,2,1961
Arizona,1,1972
Arkansas,1,1899
Arkansas,1,1941
Arkansas,1,1943
Arkansas,1,1950
Arkansas,1,1977
California,1,1845
California,2,1853
California,1,1861
California,4,1862
California,1,1863
California,9,1864
California,8,1865
California,1,1866
California,1,1867
California,3,1869
California,2,1870
California,1,1871
California,4,1872
California,1,1872
California,10,1873
California,1,1874
California,1,1875
California,5,1875
California,26,1876
California,9,1877
California,51,1878
California,39,1878
California,10,1879
California,18,1880
California,10,1881
California,2,1882
California,2,1885
California,4,1886
California,3,1889
California,10,1890
California,8,1892
California,2,1893
California,3,1893
California,6,1894
California,7,1895
California,1,1895
California,11,1896
California,21,1897
